Unnamed: 0,Title,Cleaned_Ingredients
0,Miso-Butter Roast Chicken With Acorn Squash Panzanella,1  whole chicken; 2 small acorn squash; 2 Tbsp.  sage; 1 Tbsp.  rosemary; 2 medium apples
1,Crispy Salt and Pepper Potatoes,1 pound new potatoes; 1 teaspoon  rosemary; 1 teaspoon  thyme; 1 teaspoon  parsley
2,Thanksgiving Mac and Cheese,
3,Italian Sausage and Bread Stuffing,2 pound s sweet Italian sausage
4,Newton's Law,½ oz . fresh lemon juice; Garnish: orange twist and freshly  or ground cinnamon
5,Warm Comfort,2 chamomile tea bags; ¾ oz. fresh lemon juice
6,Apples and Oranges,1 cup hot apple cider; 1½ to 3 tsp. fresh lemon juice; plus 2 lemon wheels
7,Turmeric Hot Toddy,½ oz . fresh lemon juice; Garnish: Dehydrated lemon wheel
8,Instant Pot Lamb Haleem,"¼ cup pearl barley; 1½ lb. bone-in lamb stew meat; 1 6"" piece fresh ginger; 3 medium shallots; 4 garlic cloves; ½ cup  chopped cilantro; ½ white onion; 2 limes"
9,Spiced Lentil and Caramelized Onion Baked Eggs,1  can basic lentil soup; 1 large onion; 2 Tbsp. tomato paste; Parsley
10,Hot Pimento Cheese Dip,½ g arlic clove
11,Spiral Ham in the Slow Cooker,1  bone-in
12,Butternut Squash and Apple Soup,6 slice s bacon; 2 celery ribs; 1 carrot; 1 medium onion; 2 medium Granny Smith apples
13,Caesar Salad Roast Chicken,8 g arlic cloves; 1  whole chicken or 4 chicken legs; 8 medium shallots
14,Chicken and Rice With Leeks and Salsa Verde,1½ lb . skinless; 2 large or 3 medium leeks
15,Gorditas con Camarones,1 tsp . ground coriander or cumin; 1½ lb. medium shrimp
16,Enfrijoladas,8 corn tortillas; 3 garlic cloves; ½ medium white onion
17,Caramelized Plantain Parfait,2 ripe mangoes; and/or unsweetened shredded coconut
18,Chicken and Potato Gratin With Brown Butter Cream,3 lb . skin-on; 1 lb. small potatoes; 8 oz. small or medium shallots; 2 garlic cloves; 8 sprigs thyme; 8 sage leaves; 1 lemon
